index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes
129,tm189764,Menace II Society,MOVIE,"Sobering and incisive, this cautionary drama centers on a street tough 18-year-old facing a moral quandary while trying to turn his life around.",1993,R,97,tt0107554,7.5,57399.0
130,tm9323,Desperado,MOVIE,"Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his best friend and a beautiful bookstore owner, the Mariachi tracks Bucho, takes on his army of desperados, and leaves a trail of blood of his own.",1995,R,104,tt0112851,7.1,183638.0
131,tm46173,The Mask of Zorro,MOVIE,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.",1998,PG-13,136,tt0120746,6.8,181306.0
132,tm19673,The Patriot,MOVIE,"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son.",2000,R,165,tt0187393,7.2,270231.0
133,tm24877,Road Trip,MOVIE,"From the director of the Hangover trilogy and Joker, Road Trip is a raunchy college comedy classic.  After an Ithaca college student films his one-night stand with a beautiful sorority girl, he discovers one of his friends has accidentally mailed the homemade porn tape to his girlfriend. In a frenzy, he must borrow a car and hit the road in a desperate bid to intercept the tape.  Featuring a talented cast that includes Breckin Meyer, Rachel Blanchard, Seann William Scott, Amy Smart, Fred Ward, Tom Green, Anthony Rapp, Andy Dick, and Ethan Suplee.",2000,R,93,tt0215129,6.5,167670.0
134,tm189433,Free Willy,MOVIE,"When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them.",1993,PG,112,tt0106965,6.0,75244.0
135,tm1822,3 Ninjas Kick Back,MOVIE,"During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.",1994,PG,93,tt15327306,4.5,9208.0
136,tm187791,In the Line of Fire,MOVIE,"Veteran Secret Service agent Frank Horrigan is a man haunted by his failure to save President Kennedy while serving protection detail in Dallas. Thirty years later, a man calling himself ""Booth"" threatens the life of the current President, forcing Horrigan to come back to protection detail to confront the ghosts from his past.",1993,R,128,tt0107206,7.2,101939.0
137,tm19494,The Replacements,MOVIE,"Maverick old-guard coach Jimmy McGinty is hired in the wake of a players' strike to help the Washington Sentinels advance to the playoffs. But that impossible dream hinges on whether his replacements can hunker down and do the job. So, McGinty dusts off his secret dossier of ex-players who never got a chance (or screwed up the one they were given) and knits together a bad-dream team of guys who just may give the Sentinels their title shot.",2000,PG-13,118,tt0191397,6.6,64087.0
138,tm10739,Johnny Mnemonic,MOVIE,"In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limitsâ€”and will kill him if the data is not removed in timeâ€”but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",1995,R,97,tt0113481,5.6,71062.0
139,tm113576,Little Women,MOVIE,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",1994,PG,115,tt0110367,7.3,57621.0
140,tm191387,Anaconda,MOVIE,"A ""National Geographic"" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake.",1997,PG-13,89,tt0118615,4.8,103459.0
141,tm6859,My Girl,MOVIE,"Vada Sultenfuss is obsessed with death. Her mother is dead, and her father runs a funeral parlor. She is also in love with her English teacher, and joins a poetry class over the summer just to impress him. Thomas J., her best friend, is ""allergic to everything"", and sticks with Vada despite her hangups. When Vada's father hires Shelly, and begins to fall for her, things take a turn to the worse...",1991,PG,103,tt0102492,6.9,79800.0
142,tm186589,Cliffhanger,MOVIE,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.",1993,R,112,tt0106582,6.5,128179.0
143,tm191374,I Know What You Did Last Summer,MOVIE,"After four high school friends are involved in a hit-and-run road accident, they dispose of the body and vow to keep the incident a secret. A year later, they each start receiving anonymous letters bearing the warning ""I Know What You Did Last Summer.""",1997,R,101,tt0119345,5.7,142696.0
144,tm8446,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,MOVIE,"The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants.",1991,PG,88,tt0103060,6.0,55499.0
145,ts8570,Barney & Friends,SHOW,"Barney & Friends is an American children's television series aimed at children from ages 2 to 5. The series, which first aired on April 6, 1992, features the title character Barney, a purple anthropomorphic Tyrannosaurus rex who conveys educational messages through songs and small dance routines with a friendly, optimistic attitude.

New episodes have not been produced since 2009; however reruns continue to air on various PBS stations.",1992,TV-G,28,tt0144701,3.8,9955.0
146,tm21596,Hollow Man,MOVIE,"Cocky researcher, Sebastian Caine is working on a project to make living creatures invisible and he's so confident he's found the right formula that he tests it on himself and soon begins to vanish. The only problem is: no-one can determine how to make him visible again. Caine's predicament eventually drives him mad, with terrifying results.",2000,R,112,tt0164052,5.8,130099.0
147,tm48430,Godzilla,MOVIE,"French nuclear tests irradiate an iguana into a giant monster that viciously attacks freighter ships in the Pacific Ocean. A team of experts, including Niko Tatopoulos, conclude that the oversized reptile is the culprit. Before long, the giant lizard is loose in Manhattan as the US military races to destroy the monster before it reproduces and it's spawn takes over the world.",1998,PG-13,133,tt0120685,5.4,191722.0
148,tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,"The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.",1997,,87,tt0169858,8.0,51938.0
149,tm192199,Spawn,MOVIE,"After being murdered by corrupt colleagues in a covert government agency, Al Simmons makes a pact with the devil to be resurrected to see his beloved wife Wanda. In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind.",1997,PG-13,96,tt0120177,5.2,67761.0
150,tm184205,Dennis the Menace,MOVIE,Mr. Wilson's ever-present annoyance comes in the form of one mischievous kid named Dennis. But he'll need Dennis's tricks to uncover a collection of gold coins that go missing when a shady drifter named Switchblade Sam comes to town.,1993,PG,95,tt0106701,5.6,60779.0
151,tm12499,The Net,MOVIE,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down and make her the target of an assassination.",1995,PG-13,114,tt0113957,5.9,66127.0
152,tm192431,The Devil's Own,MOVIE,"Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.",1997,R,107,tt0962637,6.2,64625.0
153,tm56033,Croupier,MOVIE,"Jack Manfred is an aspiring writer who to make ends meet, takes a job as a croupier. Jack remains an observer, knowing that everything in life is a gamble and that gamblers are born to lose. Inevitably, he gets sucked into the world of the casino which takes its toll on his relationships and the novel he is writing.",1998,R,94,tt0159382,7.0,21382.0
154,tm190486,Teenage Mutant Ninja Turtles III,MOVIE,"The four turtles travel back in time to the days of the legendary and deadly samurai in ancient Japan, where they train to perfect the art of becoming one. The turtles also assist a small village in an uprising.",1993,PG,96,tt0108308,4.7,33128.0
155,tm61103,The General's Daughter,MOVIE,"When the body of Army Capt. Elizabeth Campbell is found on a Georgia military base, two investigators, Warrant Officers Paul Brenner and Sara Sunhill, are ordered to solve her murder. What they uncover is anything but clear-cut. Unseemly details emerge about Campbell's life, leading to allegations of a possible military coverup of her death and the involvement of her father, Lt. Gen. Joseph Campbell.",1999,R,116,tt0144214,6.4,58726.0
156,tm117488,The Next Karate Kid,MOVIE,"Mr. Miyagi decides to take Julie, a troubled teenager, under his wing after he learns that she blames herself for her parents' demise and struggles to adjust with her grandmother and fellow pupils.",1994,PG,107,tt0110657,4.5,30138.0
157,tm55732,I Still Know What You Did Last Summer,MOVIE,"Ever since killing the Fisherman one year ago, Julie James is still haunted by images of him after her. When her best friend Karla wins free tickets to the Bahamas, Julie finds this a perfect opportunity to finally relax. But someone is waiting for her. Someone who she thought was dead. Someone who is out again for revenge.",1998,R,100,tt0130018,4.7,73269.0
158,tm191431,Double Team,MOVIE,He's a one-man arsenal... with enough voltage to rock the free world. They Don't Play by the Rules. You're either on their side...or in their way. America's top counter-terrorist usually works alone...this time he's got company.,1997,R,93,tt0119013,4.7,34127.0
159,tm17721,Under Suspicion,MOVIE,"A lawyer is asked to come to the police station to clear up a few loose ends in his witness report of a foul murder. ""This will only take ten minutes"", they say, but it turns out to be one loose end after another, and the ten minutes he is away from his speech become longer and longer.",2000,R,110,tt0164212,6.5,25432.0
160,ts20939,Moesha,SHOW,"Moesha was an American sitcom series that aired on the UPN network from January 23, 1996 to May 14, 2001. The series stars R&B singer Brandy Norwood as Moesha Mitchell, a high school student living with her family in the Leimert Park neighborhood of South Central Los Angeles. It was originally ordered as a pilot for the CBS network's 1995-1996 television season, who rejected. It was then picked up by UPN, who aired it as a mid-season replacement. It went on to become the biggest success for the nascent network and one of the greatest hits over the course of the network's entire run.",1996,TV-PG,21,tt0115275,5.7,3713.0
161,ts21693,"Sister, Sister",SHOW,"Twins Tia Landry and Tamera Campbell were separated and adopted at birth. Fourteen years later, they encounter each other by chance at the mall. After the families meet, Tia's widowed father agrees to let Tamera and her single mother move in with them.",1994,TV-PG,22,tt0108927,6.2,12535.0
162,ts22286,Cardcaptor Sakura,SHOW,"Sakura Kinomoto, an elementary school student who discovers that she possesses magical powers after accidentally freeing a set of magical cards from the book they had been sealed in for years. She is then tasked with retrieving those cards in order to avoid an unknown catastrophe from befalling the world.",1998,TV-Y7,25,tt0221735,8.0,4936.0
163,tm190811,Geronimo: An American Legend,MOVIE,"The Apache Indians have reluctantly agreed to settle on a US Government approved reservation. Not all the Apaches are able to adapt to the life of corn farmers. One in particular, Geronimo, is restless. Pushed over the edge by broken promises and necessary actions by the government, Geronimo and thirty or so other warriors form an attack team which humiliates the government by evading capture, while reclaiming what is rightfully theirs.",1993,PG-13,115,tt0107004,6.5,11506.0
164,tm107659,The Mirror Has Two Faces,MOVIE,"Rose Morgan, who still lives with her mother, is a professor of Romantic Literature who desperately longs for passion in her life. Gregory Larkin, a mathematics professor, has been burned by passionate relationships and longs for a sexless union based on friendship and respect.",1996,PG-13,126,tt0117057,6.6,19829.0
165,ts21581,Girlfriends,SHOW,"Girlfriends is an American comedy-drama sitcom that premiered on September 11, 2000, on UPN and aired on UPN's successor network, The CW, before being cancelled in 2008. The final episode aired on February 11, 2008.

When Girlfriends returned in fall 2007 for its eighth season, it became the longest-running live-action sitcom on network television that was on air that year, as well as one of the highest-rated scripted shows on television among African American adults and women 18-34, including its spin-off The Game.",2000,TV-PG,21,tt0247102,7.2,4482.0
166,tm7073,Knight Rider 2000,MOVIE,"In the future, guns are banned and criminals are frozen for the duration of their sentences. A recent spate of killings involving handguns brings Michael Knight back to fight for justice, but he insists of the help of KITT, his artificially-intelligent car from decades ago. The only problem is that KITT has been deactivated.",1991,G,91,tt0102227,4.5,3178.0
167,tm63514,The Last Days,MOVIE,"Five Jewish Hungarians, now U.S. citizens, tell their stories: before March, 1944, when Nazis began to exterminate Hungarian Jews, months in concentration camps, and visiting childhood homes more than 50 years later. An historian, a Sonderkommando, a doctor who experimented on Auschwitz prisoners, and US soldiers who were part of the liberation in April, 1945.",1998,PG-13,87,tt0174852,7.9,4247.0
168,ts20918,The Parkers,SHOW,"The Parkers is an American sitcom that aired on UPN from August 30, 1999, to May 10, 2004. A spin-off of UPN's Moesha, The Parkers features the mother-daughter team of Nikki and Kim Parker. The Parkers' signature ""Heeyyy"" greeting became very popular in the early 2000s.",1999,TV-PG,19,tt0200353,6.8,2346.0
169,tm10811,Heavy,MOVIE,"Victor is a cook who works in a greasy bar/restaurant owned by his mother, Dolly. It's just the two of them, a waitress named Delores, and a heavy drinking regular, Leo. But things change when Callie, a beautiful college drop-out, shows up as a new waitress and steals Victor's heart. But Victor is too shy to do anything about it, and too self-consciously overweight to dream of winning Callie away.",1995,R,105,tt0113280,6.8,4921.0
170,tm188970,Bill Hicks: Revelations,MOVIE,"Bill Hicks in the height of his genius. Recorded at the Dominion Theatre in London, Hicks opens our eyes and minds to the hypocrisy and ludicrousness of the world around us.",1993,,74,tt0152183,8.5,3085.0
171,tm188606,Sankofa,MOVIE,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",1993,,124,tt0108041,7.0,678.0
172,ts18465,Dale's Supermarket Sweep,SHOW,Dale's Supermarket Sweep was a UK game show based on the American Supermarket Sweep TV show format.,1993,TV-G,21,tt0962853,7.1,39.0
173,tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,"Taped for HBO in August 1998, on the final date of Jerry Seinfeld's tour appearances at New York City's Broadhurst Theater, I'm Telling You for the Last Time presents the standup comedian's so-called ""final"" standup, or at least his final tour with the standup material that made him famous.",1998,G,75,tt0500140,7.9,5834.0
174,tm320211,Children of God,MOVIE,"A former member examines the lingering effects of being raised in the Family, a cult whose disturbing practices include the sexual abuse of children.",1994,,63,tt6051792,6.4,589.0
175,tm189171,Wild Tango,MOVIE,"A biopic based on the life of one of the pioneer argentine rock stars 'Tanguito'. The movie tells the story of his rise and fall from grace, encompassed in violent times of a military regime.",1993,R,124,tt0108291,6.7,1564.0
176,tm67635,Kuch Kuch Hota Hai,MOVIE,"Anjali is left heartbroken when her best friend and secret crush, Rahul, falls in love with Tina. Years later, Tina's young daughter tries to fulfil her mother's last wish of uniting Rahul and Anjali.",1998,G,185,tt0172684,7.6,51640.0
177,ts22080,Oggy and the Cockroaches,SHOW,"Oggy, an anthropomorphic cat, would prefer to spend his days watching television and eating, but is continuously pestered by three roaches: Joey, Marky and Dee Dee. The cockroaches' slapstick mischief ranges from plundering Oggy's refrigerator to hijacking the train he just boarded. In many situations Oggy is also helped by Jack, who is more violent and short-tempered than him and is also annoyed by the cockroaches. Bob, a short-tempered bulldog, also appears in the show, and is Oggy's neighbor.",1999,TV-Y7,9,tt0213363,7.4,4185.0
178,ts22039,H,SHOW,"H is a French sitcom with seventy-one, 22-minute episodes. The series was created by Kader Aoun, Xavier Matthieu and Ã‰ric Judor, and produced by Phillippe Berthe, Ã‰douard Molinaro, Jean-Luc Moreau and Charles NÃ©mÃ¨s. It ran from 24 October 1998 to 20 April 2002 on Canal+. In Canada, it is shown weekly on TV5.

The title ""H"" comes from the three words that characterize the series: Humour, Histoire et HÃ´pital.",1998,TV-MA,25,tt0173554,7.4,1703.0
179,tm41525,Herod's Law,MOVIE,"Mexico, 1949. The fable of a janitor turned Mayor on a little town lost in the Mexican desert, who gradually realizes how far his new acquainted power and corruption can get him.",1999,R,120,tt0221344,7.8,5943.0
180,tm7951,Tim Allen: Rewires America,MOVIE,This is arguably Tim Allen's best stand-up show ever and this show truly solidified Tim Allen's unique slant on masculinity becoming the backbone for his TV show â€œHome Improvement.â€,1991,PG,30,tt0294967,5.9,195.0
181,ts21684,Heartbreak High,SHOW,The ins and outs of the classroom lives of a group of students who attend the fictional Hartley High School in Sydney.,1994,TV-MA,47,tt0108800,7.8,3106.0
182,tm55100,Dil Se..,MOVIE,"Journalist Amar falls for a mysterious woman on an assignment, but she does not reciprocate his feelings. However, when Amar is about to get married, the woman shows up at his doorstep asking for help.",1998,PG-13,163,tt0164538,7.5,28409.0
183,tm204173,Aashik Aawara,MOVIE,"Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths.",1993,,153,tt0106206,4.7,320.0
184,tm191614,Destiny,MOVIE,"In the 12th century's Andalusia lives Ibn Rushd a prominent islamic philosopher with his wife Zeinab and daughter Sara. The principality is ruled by Khalifa ElMansour who has two sons, ElNasser, an intellectual that likes Ibn Rush and is in love with his daughter Sara. The younger son Abdallah is more into dancing and poetry, spending most of his times with the gypsy family and getting the daughter pregnant. The Khalifa is depending on the extremists to build his army granting them more power which they use to combat artists and philosophers. The extremists succeed in recruiting Abd Allah and train him to kill his father. Events go on where Marawan, the gypsy singer, is killed and Ibn Rushd's books are burnt. Adapted from the real life of Ibn Rushd AlMasir is Chahine's statement against extremism.",1997,,136,tt0119629,7.1,2825.0
185,tm8859,Oh Darling! Yeh Hai India!,MOVIE,Miss India and an aspiring actor spend a night together roaming the streets of Mumbai and unwittingly clash paths with a megalomaniacal gangster planning to take over India.,1995,G,153,tt0114031,4.0,1678.0
186,tm424630,A Triumph of the Heart: The Ricky Bell Story,MOVIE,"Ricky Bell, an all-pro running back with the Tampa Bay Buccaneers, who died of a rare muscle disease in the prime of his career. The plot centers on Bell's relationship with a father-less handicapped boy, and his efforts to be a big brother to him. The boy ends up being an inspiration for Bell when his disease makes the athlete more afflicted than the boy.",1991,,100,tt0103123,7.2,248.0
187,tm12876,Bombay,MOVIE,"A Hindu man and a Muslim woman fall in love in a small village and move to Mumbai, where they have two children. However, growing religious tensions and erupting riots threaten to tear the family apart.",1995,,141,tt0112553,8.1,12512.0
188,tm52083,West Beirut,MOVIE,"In April, 1975, civil war breaks out; Beirut is partitioned along a Moslem-Christian line. Tarek is in high school, making Super 8 movies with his friend, Omar. At first the war is a lark: school has closed, the violence is fascinating, getting from West to East is a game. His mother wants to leave; his father refuses. Tarek spends time with May, a Christian, orphaned and living in his building. By accident, Tarek goes to an infamous brothel in the war-torn Olive Quarter, meeting its legendary madam, Oum Walid. He then takes Omar and May there using her underwear as a white flag for safe passage. Family tensions rise. As he comes of age, the war moves inexorably from adventure to tragedy.",1998,PG-13,105,tt0157183,7.6,4175.0
189,tm9898,Muthu,MOVIE,"A lavish Maharaja lived with his sister-in-law and stepbrother Rajasekhar, helping people incessantly. His sister-in-law has a son, to whom the Maharaja bequeaths a major portion of his property. At this juncture, a new baby is born to the Maharaja.His wife dies soon after. Brother Rajasekhar cheats the Maharaja as he fears that his son's property might be taken back and given to the Maharaja's own son. When the cheating comes to light, the Maharaja hands over all his property and his baby to his sister-in-law...",1995,G,165,tt0140399,7.6,3056.0
190,tm326102,Qila,MOVIE,"When an abusive landowner is murdered, his twin brother sets out to find the killer but quickly discovers that everyone, it seems, wanted him dead.",1998,,160,tt0286907,4.8,129.0
191,tm12482,Ram Jaane,MOVIE,"A street hustler, who has spent several years in and out of prison, decides to reform his life, as he teaches street kids to stay away from crime, but has trouble maintaining these ideals in his own life.",1995,,172,tt0114231,5.4,3901.0
192,tm128925,Chamatkar,MOVIE,"When Sunder loses everything, he seeks refuge in a graveyard, where he befriends a ghost.",1992,G,171,tt0126234,6.5,6199.0
193,tm52871,Soldier,MOVIE,The story follows a young man (Bobby Deol) who flees India and arrives in Australia seeking vengence for something that started in India. In Australia he meets and falls in love with the daughter of a rich and powerful man(Suresh Oberoi). The story keeps the covers on Bobby Deols plan until the end when everything is revealed as to why he is a SOLDIER.,1998,,156,tt0211634,6.2,3025.0
194,ts28516,Okupas,SHOW,"During the year 2000, Ricardo, Pollo, Walter and Chiqui occupied a house in the Buenos Aires neighborhood of Congreso. The four young people forge a strong friendship that leads them to go through different stories of crime, drugs and social marginalization.",2000,TV-MA,40,tt0289649,9.0,2326.0
195,tm62385,Hum Saath Saath Hain,MOVIE,"Ramkishen and his wife Mamta have three sons. Prem and Vinod have sweethearts in Preeti and Vivek marries Sangeeta. Since Vivek is Mamta's step-son, she plots to alienate him, but will she succeed?",1999,G,177,tt0216817,6.2,8454.0
196,tm184502,Kabhi Haan Kabhi Naa,MOVIE,"A man belongs to a middle-class family and is intent on pursuing his career with a music group, despite his dad's disapproval. He is also in love with the lead singer, but she sees him mainly as a friend.",1994,G,158,tt0110222,7.6,18224.0
197,tm7810,Nightmare in Columbia County,MOVIE,The recounting of a terrible crime that wracked a family and galvanized police in South Carolina in the 1980's. Southern beauty pageant winner Dawn Smith is targeted by a sadistic stalker whose obsession with her leads him to kidnap her younger sister.,1991,,100,tt0102537,5.5,341.0
198,tm27601,Phir Bhi Dil Hai Hindustani,MOVIE,"Rival news-reporters, Ajay Bakshi, and Ria Bannerjee engage in a comic war to be the first to interview notorius M.K. Sharma, in which Ria succeeds. Then the two are thrust in a battle for their lives as they must decide whether to save an innocent terrorist from being hanged, or sacrifice their very lives themselves.",2000,PG-13,160,tt0222270,6.1,7556.0
199,tm47530,Jeans,MOVIE,"Vishu and Ramu are a pair of Indian twins living in America with their father, Rajamani. When Madhumita (Aishwarya Rai) and her brother come to America to get medical treatment for their ailing grandmother, Vishu and Ramu end up meeting them at the airport. Vishu falls in love with Madhumita, and the couple has everyone's blessing, except for Rajamani, who is estranged from his own twin brother. He only wants his sons to marry twin sisters, so Madhumita pretends to have a twin in order to please him. As Madhumita puts on a charade by creating Vaishnavi, all goes well, until Ramu falls in love with Vaishnavi. Now the truth must come out, before Madhumita has to marry both of Rajamani's twin sons.",1998,,175,tt0151121,6.4,3567.0
200,tm105716,Chaahat,MOVIE,"Roop and his father come to the city for medical treatment where Reshma falls in love with Roop. However, Roop loves Pooja but when Reshma threatens to kill herself, Roop agrees to marry her.",1996,G,155,tt0172234,5.5,2837.0
201,tm117873,Hum Aapke Hain Koun..!,MOVIE,"Prem and Nisha meet and fall in love at the wedding of their elder siblings, but their plans to be together are put in jeopardy when Nisha's sister dies, leaving behind a baby.",1994,,206,tt0110076,7.5,20986.0
202,tm189773,Maya Memsaab,MOVIE,"A frustrated housewife whose marriage to an average man does not meet her expectations enters into an affair with a younger man. Of course, there are no easy escapes from reality.",1993,PG-13,126,tt0137100,5.4,2177.0
203,tm7032,Out of Life,MOVIE,"Patrick Perrault, a photo-journalist covering the war in Beirut in the late 1980s, is himself caught up in the hostilities when one day he is picked up and bundled into a car at gun-point. Blind-folded, he is taken to an unknown location where he discovers that he is being taken hostage by Lebanese guerrillas.",1991,,97,tt0102058,6.9,365.0
204,tm58893,Duplicate,MOVIE,"Seeking vengeance on those who double-crossed him, an escaped prisoner impersonates an unsuspecting chef.",1998,PG,165,tt0164550,5.5,7557.0
205,tm340430,Govindha Govindha,MOVIE,"A Tantric believes that by donating a virgin woman's head to gods crown, would bring down the universe to his feet. How the hero and heroine gets entangled in the underworld nexus, while rescuing the robbery, forms the crux of the plot.",1993,,145,tt0192087,6.6,351.0
206,tm184326,Damini,MOVIE,"The theme revolves around the character Damini who represents truth and innocence. After her marriage in renowned wealthy family, Damini happens to see a cruel act done by her brother-in-law. She wants the victim to get justice, but the family including her husband oppose her, which leads her to leave the house. Soon she is helped by a drunkard, an ex-advocate, who helps her in all respect to reach to her aim and therefore justice",1993,,180,tt0106655,7.8,3490.0
207,tm110225,English Babu Desi Mem,MOVIE,"Vikram Mayur is looking after his late brother's eight-year-old son and is torn between choosing to take Nandu back to England to learn his family's business, or risk throwing it all way.",1996,PG,172,tt0136153,4.5,2322.0
208,tm34391,Before the Flying Circus,MOVIE,"Discover how six seemingly ordinary but supremely talented men became Monty Python, sketch comedy's inspired group of lunatics who turned such unlikely sources of inspiration as Spam, dead parrots and the Inquisition into enduring punch lines. This entertaining documentary includes interviews with members of the troupe, as well as home movies, photos and rare recordings from Monty Python's early years.",2000,,55,tt9230920,7.3,161.0
209,tm21911,Sam Kinison: Live in Vegas,MOVIE,"Comedy / Music/Musical - In the town that knows no limits, Kinison gives a completely raw and uncensored performance at the very height of his career. Filled with scorching comedy, hot women and sizzling rock 'n roll, this rarely seen live show encapsulates the energy, verve and relentless brand of comedy that was unique to Kinison.",1991,,72,tt0249934,6.6,272.0
210,tm118438,Anjaam,MOVIE,"After mistaking a flight attendant's attention for love, a wealthy, spoiled man becomes obsessed with her and soon tears her life apart.",1994,,146,tt0109134,6.6,6465.0
211,tm62176,Mann,MOVIE,"A young woman falls in love with a handsome playboy, while aboard a Singapore to India cruise. They make plans to meet again, but fate may have other plans...",1999,,174,tt0206921,6.1,5413.0
212,tm57169,Monty Python: Live at Aspen,MOVIE,"In March 1998 in Aspen, Colorado, the surviving members of the Monty Paython team - John Cleese, Terry Gilliam, Eric Idle, Terry Jones and Michael Palin - shared a stage together for the first time in 18 years. Even more remarkably, Graham Chapman was there too....in an urn! The occasion for this renuion was the US Comedy Arts Festival Tribute to Monty Python, hosted by Robert Klien in front of a live audience.",1998,,58,tt0287570,7.8,1092.0
213,tm184224,Sinbad: Afros and Bellbottoms,MOVIE,"Sinbad brings the '70s back with a nostalgic stand-up special dedicated to the films, fashion and other flashbacks from that era.",1993,PG-13,59,tt0938331,7.8,166.0
214,tm44776,The Other,MOVIE,"Adam is the son of a wealthy Egyptian-American family who is studying at UCLA and returns home for a brief vacation. Upon his arrival he meets beautiful reporter Hanane, with whom he begins an intense love affair, and eventually they marry. Trouble arises when Hanane' s journalistic interests lead her to the corrupt business affairs of Adam's parents, who are interested in building an American tourist compound that would allow Americans further control of Egypt's tourist industry, and make them a whole lot richer.",1999,,106,tt0196355,5.9,987.0
215,tm104933,Sinbad: Son of a Preacher Man,MOVIE,"Experience veteran comedian Sinbad as he returns to his college town of Denver and performs at the Paramount Theatre for this next installment of his famed HBO Comedy Specials. Sinbad: Son of a Preacher Man is a self-styled monologue that comments on the perils of skiing, para-sailing during a bad vacation, fashion trends in lingerie, and more!",1996,,56,tt0938333,6.7,115.0
216,tm203186,Children of Shatila,MOVIE,"Many people first became aware of the Shatila refugee camp in Lebanon after the shocking and horrific Sabra-Shatila massacre that took place there in 1982. Located in Beirut's ""belt of misery,"" the camp is home to 15,000 Palestinians and Lebanese who share a common experience of displacement, unemployment and poverty.  Fifty years after the exile of their grandparents from Palestine, the children of Shatila attempt to come to terms with the reality of being refugees in a camp that has survived massacre, siege and starvation.  Director Mai Masri focuses on two Palestinian children in the camp: Farah, age 11 and Issa, age 12. When these children are given video cameras, the story of the camp evolves from their personal narratives as they articulate the feelings and hopes of their generation.",1999,,50,tt0243174,8.199999999999998,74.0
217,tm256669,Gumrah,MOVIE,"Roshni Chadha makes her living, singing in various places and this makes her the breadwinner of her home. She soon gets to meet the handsome and wealthy Rahul Malhotra, who finds out that she can actually sing professionally and he helps her to attain this goal, which soon became a success and Roshni falls in love with Rahul and finds out that he has the same feelings for her. On a foreign trip, Roshni is arrested by the police for having in her possession cocaine, Rahul disappears leaving Roshni in hot-soup and now she must prepare to undergo her prison terms as there is no one to help her.",1993,,149,tt0107060,6.1,784.0
218,tm117840,The Emigrant,MOVIE,"The biblical tale of Joseph is told from an Egyptian perspective in this interesting character study. In this film, Joseph is called Ram. Ram, tired of his family's backward superstitious life, and tired of being picked on by his brothers, wants to go to Egypt to study agriculture. His brothers travel with him across Sinai, but then suddenly sell him to Ozir, an Egyptian who works for a Theban military leader, Amihar. Amihar is impressed by Ram's drive and personal charm and so grants Ram some desolate land outside the capital. Ram soon finds himself a pawn in the political and sexual games between Amihar and his wife Simihit, a high priestess of the Cult of Amun.",1994,,129,tt0110545,6.5,998.0
